,province,adcode,model,bodyType,regYear,regMonth,salesVolume,popularity,carCommentVolum,newsReplyVolum
0,上海,310000,3c974920a76ac9c1,SUV,2016,1,292,1479.0,11.0,106.0
1,云南,530000,3c974920a76ac9c1,SUV,2016,1,466,1594.0,11.0,106.0
2,内蒙古,150000,3c974920a76ac9c1,SUV,2016,1,257,1479.0,11.0,106.0
3,北京,110000,3c974920a76ac9c1,SUV,2016,1,408,2370.0,11.0,106.0
4,四川,510000,3c974920a76ac9c1,SUV,2016,1,610,3562.0,11.0,106.0
5,安徽,340000,3c974920a76ac9c1,SUV,2016,1,206,1314.0,11.0,106.0
6,山东,370000,3c974920a76ac9c1,SUV,2016,1,503,3476.0,11.0,106.0
7,山西,140000,3c974920a76ac9c1,SUV,2016,1,236,1422.0,11.0,106.0
8,广东,440000,3c974920a76ac9c1,SUV,2016,1,3635,7182.0,11.0,106.0
9,广西,450000,3c974920a76ac9c1,SUV,2016,1,450,1163.0,11.0,106.0
10,江苏,320000,3c974920a76ac9c1,SUV,2016,1,876,3670.0,11.0,106.0
11,江西,360000,3c974920a76ac9c1,SUV,2016,1,253,926.0,11.0,106.0
12,河北,130000,3c974920a76ac9c1,SUV,2016,1,306,2973.0,11.0,106.0
13,河南,410000,3c974920a76ac9c1,SUV,2016,1,537,3483.0,11.0,106.0
14,浙江,330000,3c974920a76ac9c1,SUV,2016,1,650,3167.0,11.0,106.0
15,湖北,420000,3c974920a76ac9c1,SUV,2016,1,635,2190.0,11.0,106.0
16,湖南,430000,3c974920a76ac9c1,SUV,2016,1,525,1666.0,11.0,106.0
17,福建,350000,3c974920a76ac9c1,SUV,2016,1,462,1357.0,11.0,106.0
18,辽宁,210000,3c974920a76ac9c1,SUV,2016,1,791,2808.0,11.0,106.0
19,重庆,500000,3c974920a76ac9c1,SUV,2016,1,195,682.0,11.0,106.0
20,陕西,610000,3c974920a76ac9c1,SUV,2016,1,298,1558.0,11.0,106.0
21,黑龙江,230000,3c974920a76ac9c1,SUV,2016,1,309,2118.0,11.0,106.0
22,上海,310000,3d7554f1f56dd664,Sedan,2016,1,389,1519.0,43.0,3996.0
23,云南,530000,3d7554f1f56dd664,Sedan,2016,1,306,1161.0,43.0,3996.0
24,内蒙古,150000,3d7554f1f56dd664,Sedan,2016,1,260,1340.0,43.0,3996.0
